Frame,Segmentation
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005100.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005100.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000002820.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000002820.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005580.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005580.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004260.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004260.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004680.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004680.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004620.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004620.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005760.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005760.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000003180.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000003180.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000001680.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000001680.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000003960.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000003960.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000240.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000240.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000002160.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000002160.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000180.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000180.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000720.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000720.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000001440.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000001440.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004980.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004980.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000002700.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000002700.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000001740.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000001740.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000003600.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000003600.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000300.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000300.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000003120.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000003120.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005160.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005160.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000002760.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000002760.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000120.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000120.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000001860.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000001860.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005820.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005820.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000003000.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000003000.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004380.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004380.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000001560.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000001560.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005640.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005640.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000001080.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000001080.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000000.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000000.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000002460.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000002460.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000002880.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000002880.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000960.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000960.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004440.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004440.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000003900.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000003900.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005280.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005280.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005040.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005040.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000001020.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000001020.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005340.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005340.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005220.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005220.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005460.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005460.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000001800.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000001800.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004200.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004200.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000060.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000060.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000002940.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000002940.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000840.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000840.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000002340.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000002340.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004800.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004800.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000660.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000660.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000003060.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000003060.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000002280.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000002280.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000360.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000360.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004740.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004740.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000002100.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000002100.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000600.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000600.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004080.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004080.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005400.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005400.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005940.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005940.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000003660.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000003660.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004860.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004860.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000003540.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000003540.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000005520.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000005520.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000004500.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000004500.png
/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/frames/000000420.png,/home/shobot/Shahbaz_project/SAR_RARP50_challenge/Database/Train/video_34/segmentation/000000420.png
